Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guinea-Bissau,4.18953228,4.53104782,3.96902514,3.53315258,4.27734661,4.5516243,5.0809288,5.03941393,5.45864058,4.73428679,5.26704073,6.21634817,5.94134808,7.03943443,9.96897411,8.13228226,8.32881451,7.00049543,7.28130722,7.16052532,9.02139282,8.2233429,:
Kenya,3.62714171,3.76578307,3.84691834,4.05870771,4.23645926,4.24245214,5.11269999,5.22106314,5.28900909,5.26973343,5.38849831,5.20212841,5.0180583,4.93100405,4.91267347,4.76439571,4.75429106,3.98597503,4.09903383,4.36874676,4.47622252,4.54763126,:
Lesotho,5.6117692,7.27745867,6.54458666,6.04550791,6.05738831,5.44926691,6.11966372,7.22254515,7.66656303,8.95305061,7.64088917,9.07558823,10.04389858,10.99592113,9.99930382,9.2965641,9.24261093,10.57480335,11.114995,11.94662285,10.27927017,10.21370411,:
Liberia,2.87913179,2.27906799,2.28035998,2.66176748,6.3381567,7.14322186,6.06891537,4.32794046,5.99615717,11.57163811,10.35444641,9.71052551,8.15444565,7.09007835,8.77403069,10.46927643,9.90062618,10.47271252,10.35222721,8.42100334,16.96832657,16.6163311,:
Madagascar,3.99177575,4.11513805,4.92547607,5.00276518,5.25089979,5.2155776,5.07203817,4.60865784,4.08111715,4.38469839,4.69762659,4.521595,3.9110589,3.75156283,4.46240282,5.0062542,5.33248854,4.80225992,4.22846937,3.10129309,3.72316122,3.5045228,:
Malawi,2.35247517,2.06040049,2.69725966,3.32019806,4.07199907,4.30046511,4.91223288,5.44258356,6.10668802,5.87333822,5.14304781,5.32226658,6.02199793,8.22379494,6.89776182,6.62879086,7.72703791,7.58438921,6.87366676,7.15010023,7.0088768,7.41194487,:
Mali,5.46631575,4.51950884,4.99773645,5.0505991,5.21767759,5.19516516,5.45589256,5.25303173,5.02686644,5.2122364,4.67865133,4.01483774,3.7521615,3.96750712,4.48158312,4.11143351,3.77377558,3.67425752,3.73249912,3.82943797,3.47597885,4.47341442,:
Mauritania,3.37824655,3.5718379,4.00224972,4.03254652,3.70429492,3.40312648,2.70252752,2.87644005,3.01338983,3.11034036,2.63618922,2.47383666,2.64919329,2.86799884,3.46724391,3.67363763,3.09630585,3.31550789,3.17838526,3.30148649,3.38773394,4.12218571,:
Mauritius,2.85734653,2.92151856,3.18897271,3.18201613,3.31652546,3.51794028,3.60573649,3.52321672,3.93896508,4.17035627,4.51898289,4.25059652,4.21993399,4.620821,5.38024664,5.55042362,5.54289532,5.61408615,5.63982916,6.02485895,6.48210192,6.39258909,:
Mozambique,2.18767238,2.87893057,3.2773509,3.39533854,3.67226458,4.37538815,4.08873844,3.93067098,4.22139311,5.20390034,5.43892908,5.00311899,5.24640608,6.12585449,6.33251858,6.71663332,7.28134441,7.83763266,8.0889616,7.95272589,7.56957626,9.05218315,:
Namibia,9.23999977,9.64409447,9.68074989,9.91340542,10.12623405,10.08441544,10.57086945,10.71633053,9.91801167,9.04967022,9.72781372,9.83193302,9.26659298,9.06448746,8.4089098,9.98109627,9.3223238,8.72573948,8.31648731,8.43033981,8.90162563,9.38092136,:
Niger,4.65891504,4.72659349,4.82717037,4.74740648,4.97818327,5.87749624,5.99335575,5.43105888,5.24640608,5.33850145,4.96100473,4.87323856,4.30732679,4.46636009,4.45377159,5.34745932,4.53239059,5.57609606,5.30310822,5.66642094,6.17012262,5.81452751,:
Nigeria,3.1973834,3.18946862,2.49063969,5.05360985,4.63368416,4.46591949,4.25775146,3.90997243,3.69581532,3.5801971,3.29653287,3.32077932,3.35984254,3.4206934,3.34840417,3.58194995,3.64773679,3.74762511,3.09069347,2.98547053,3.38063431,4.07625723,:
Rwanda,3.57583427,3.31599975,3.13122177,6.93491793,7.50929976,7.72549963,7.60959911,7.86212587,7.5670433,7.80694866,8.08696938,7.93879843,8.10667801,6.77649164,6.98844194,6.65446424,6.96060848,6.38999748,6.69894743,6.34386826,7.47530079,7.32305002,:
