Country,Year,Value
FRA,2013,7.66
FRA,2014,8.09
FRA,2015,9.05
FRA,2016,9.46
FRA,2017,10.84
FRA,2018,9.51
FRA,2019,9.95
FRA,2020,11.94
GBR,2000,7.53
GBR,2001,7.22
GBR,2002,9.18
GBR,2003,10.33
GBR,2004,11.05
GBR,2005,11.29
GBR,2006,12.15
GBR,2007,12.26
GBR,2008,13.13
GBR,2009,13.19
GBR,2010,13.53
GBR,2011,13.33
GBR,2012,13.88
GBR,2013,13.18
GBR,2014,13.45
GBR,2015,13.61
GBR,2016,12.93
GBR,2017,13.01
GBR,2018,12.9
GBR,2019,13.07
GBR,2020,13.04
GBR,2021,13.12
GBR,2022,13.52
GRC,2001,12.79
GRC,2005,13.4
GRC,2006,14.84
GRC,2007,14.47
GRC,2008,12.8
GRC,2009,11.57
GRC,2010,9.33
GRC,2011,9.87
GRC,2012,9.21
GRC,2013,9.32
GRC,2014,8.91
GRC,2015,10.74
GRC,2016,10.22
GRC,2017,12.4
GRC,2018,12.52
GRC,2019,13.51
GRC,2020,13.69
HUN,2000,9.25
HUN,2001,9.95
HUN,2002,10.21
HUN,2003,9.63
HUN,2004,11.12
HUN,2005,11.41
HUN,2006,10.61
HUN,2007,9.99
HUN,2008,9.56
HUN,2009,9.21
HUN,2010,10.4
HUN,2011,11.51
HUN,2012,13.85
HUN,2013,14.2
HUN,2014,13.65
HUN,2015,13.4
HUN,2016,14.14
HUN,2017,14.41
HUN,2018,15.96
HUN,2019,15.76
HUN,2020,15.71
HUN,2021,16.21
IRL,2000,14.35
IRL,2001,14.28
IRL,2002,14.45
IRL,2003,15.21
IRL,2004,15.67
IRL,2005,14.28
IRL,2006,15
IRL,2007,16.5
IRL,2008,14.99
IRL,2009,15.92
IRL,2010,17.21
IRL,2011,16.11
IRL,2012,16.98
IRL,2013,20.13
IRL,2014,21.66
IRL,2015,23.54
IRL,2016,24.44
IRL,2017,24.88
IRL,2018,25.76
IRL,2019,24.83
IRL,2020,25.43
IRL,2021,26.03
ISL,2000,11.74
ISL,2001,11.93
ISL,2002,13.22
ISL,2003,10.36
ISL,2004,11.98
ISL,2005,14.83
ISL,2006,13.17
ISL,2007,11.55
ISL,2008,15.44
